package_num_channel	eda_channels	temperature_channels	other_channels	timestamp_channel	marker_channel
51072.000000	0.031746	0.000000	0.000000	1722982911.875832	0.000000
51087.000000	0.033292	0.000000	0.000000	1722982911.983096	0.000000
51087.000000	0.032187	0.000000	0.000000	1722982911.983111	0.000000
51104.000000	0.032412	30.555000	27.935000	1722982912.081515	0.000000
51122.000000	0.032718	30.595000	28.015000	1722982912.175280	0.000000
51122.000000	0.032054	30.595000	28.015000	1722982912.175299	0.000000
51139.000000	0.031887	30.506000	28.015000	1722982912.292785	0.000000
51155.000000	0.032121	30.538000	28.015000	1722982912.384838	0.000000
51155.000000	0.031664	30.538000	28.015000	1722982912.384851	0.000000
51173.000000	0.032592	30.538000	27.988000	1722982912.490803	0.000000
51173.000000	0.032010	30.538000	27.988000	1722982912.490823	0.000000
51189.000000	0.031993	30.587000	27.988000	1722982912.589458	0.000000
51207.000000	0.031733	30.502000	28.026000	1722982912.699880	0.000000
51207.000000	0.032330	30.502000	28.026000	1722982912.699900	0.000000
51223.000000	0.031380	30.466000	28.026000	1722982912.798776	0.000000
51238.000000	0.031919	30.466000	28.026000	1722982913.000245	0.000000
51238.000000	0.032483	30.466000	28.026000	1722982913.000257	0.000000
51255.000000	0.032164	30.521000	27.994000	1722982913.007060	0.000000
51272.000000	0.031527	30.615000	27.994000	1722982913.109352	0.000000
51272.000000	0.032047	30.615000	27.994000	1722982913.109365	0.000000
51290.000000	0.032283	30.514000	27.882000	1722982913.307851	0.000000
51290.000000	0.032082	30.514000	27.882000	1722982913.307863	0.000000
51308.000000	0.031224	30.506000	27.882000	1722982913.314290	0.000000
51324.000000	0.032138	30.506000	27.882000	1722982913.513061	0.000000
51324.000000	0.030933	30.506000	27.882000	1722982913.513075	0.000000
51341.000000	0.032035	30.503000	28.057000	1722982913.527216	0.000000
51358.000000	0.031166	30.466000	28.057000	1722982913.717401	0.000000
51358.000000	0.031977	30.466000	28.057000	1722982913.717416	0.000000
51375.000000	0.033063	30.485000	28.012000	1722982913.731639	0.000000
51389.000000	0.031629	30.485000	28.012000	1722982913.922966	0.000000
51389.000000	0.031859	30.485000	28.012000	1722982913.922981	0.000000
51409.000000	0.032643	30.458000	28.012000	1722982913.950634	0.000000
51409.000000	0.031660	30.458000	28.012000	1722982913.950646	0.000000
51425.000000	0.031797	30.446000	27.967000	1722982914.126742	0.000000
51444.000000	0.032130	30.512000	27.974000	1722982914.156168	0.000000
51444.000000	0.030766	30.512000	27.974000	1722982914.156183	0.000000
51460.000000	0.032308	30.541000	27.964000	1722982914.331518	0.000000
51476.000000	0.031798	30.541000	27.964000	1722982914.354640	0.000000
51476.000000	0.031257	30.541000	27.964000	1722982914.354654	0.000000
51492.000000	0.032427	30.589000	27.957000	1722982914.536694	0.000000
51509.000000	0.031525	30.574000	28.079000	1722982914.633057	0.000000
51509.000000	0.031712	30.574000	28.079000	1722982914.633068	0.000000
51526.000000	0.031586	30.532000	28.079000	1722982914.664194	0.000000
51542.000000	0.031342	30.549000	28.079000	1722982914.777932	0.000000
51542.000000	0.031970	30.549000	28.079000	1722982914.777943	0.000000
51557.000000	0.031971	30.549000	28.010000	1722982914.946198	0.000000
51557.000000	0.031620	30.549000	28.010000	1722982914.946223	0.000000
51575.000000	0.032779	30.557000	28.010000	1722982914.982913	0.000000
51591.000000	0.031379	30.525000	28.038000	1722982915.150900	0.000000
51591.000000	0.031905	30.525000	28.038000	1722982915.150909	0.000000
51608.000000	0.031968	30.511000	28.038000	1722982915.186700	0.000000
51625.000000	0.030946	30.511000	28.038000	1722982915.355236	0.000000
51625.000000	0.032435	30.511000	28.038000	1722982915.355246	0.000000
51642.000000	0.032081	30.469000	27.975000	1722982915.457911	0.000000
51658.000000	0.031114	30.593000	27.974000	1722982915.554684	0.000000
51658.000000	0.032290	30.593000	27.974000	1722982915.554697	0.000000
51676.000000	0.031458	30.540000	27.978000	1722982915.662886	0.000000
51676.000000	0.031931	30.540000	27.978000	1722982915.662933	0.000000
51692.000000	0.032151	30.553000	27.978000	1722982915.763377	0.000000
51707.000000	0.031437	30.553000	27.978000	1722982915.867709	0.000000
51707.000000	0.032295	30.553000	27.978000	1722982915.876734	0.000000
51723.000000	0.031979	30.523000	28.081000	1722982915.970002	0.000000
51757.000000	0.031388	30.474000	28.081000	1722982916.134948	0.000000
51757.000000	0.031856	30.474000	28.081000	1722982916.134957	0.000000
51773.000000	0.031975	30.495000	28.081000	1722982916.277432	0.000000
51789.000000	0.031399	30.495000	28.155000	1722982916.379790	0.000000
51789.000000	0.032444	30.495000	28.155000	1722982916.379803	0.000000
51806.000000	0.031813	30.569000	28.049000	1722982916.481864	0.000000
51822.000000	0.031850	30.565000	28.049000	1722982916.584854	0.000000
51822.000000	0.032112	30.565000	28.049000	1722982916.584864	0.000000
51842.000000	0.030923	30.706000	28.089000	1722982916.685229	0.000000
